date,product,category,feedback_text,rating
2024-01-15,모바일앱,기능,앱이 너무 느려서 사용하기 어렵습니다,2
2024-01-16,웹사이트,UI,디자인이 깔끔하고 사용하기 편합니다,5
2024-01-17,모바일앱,버그,로그인할 때 오류가 발생합니다,1
2024-01-18,웹사이트,기능,검색 기능이 정말 유용합니다,5
2024-01-19,모바일앱,성능,배터리 소모가 너무 많습니다,2
2024-01-20,웹사이트,UI,색상이 너무 밝아서 눈이 아픕니다,3
2024-01-21,모바일앱,기능,푸시 알림이 제대로 작동하지 않습니다,2
2024-01-22,웹사이트,기능,결제 과정이 간단하고 빠릅니다,5
2024-01-23,모바일앱,UI,메뉴 구조가 직관적입니다,4
2024-01-24,웹사이트,성능,페이지 로딩 속도가 빠릅니다,5
2024-01-25,모바일앱,버그,앱이 자주 충돌합니다,1
2024-01-26,웹사이트,기능,고객 지원이 친절합니다,5
2024-01-27,모바일앱,UI,폰트 크기가 너무 작습니다,3
2024-01-28,웹사이트,기능,개인정보 설정이 편리합니다,4
2024-01-29,모바일앱,성능,메모리 사용량이 적습니다,5
2024-01-30,웹사이트,버그,이미지가 제대로 표시되지 않습니다,2



